meeting_key,circuit,driver_number,practice_score,quali_score,actual_finish_position
1141,Sakhir,1,99.81,100.0,1
1141,Sakhir,2,97.92,97.88,12
1141,Sakhir,4,99.05,98.17,17
1141,Sakhir,10,98.67,97.7,9
1141,Sakhir,11,100.0,99.85,2
1141,Sakhir,14,99.94,99.3,3
1141,Sakhir,18,99.14,98.76,6
1141,Sakhir,20,98.71,97.62,13
1141,Sakhir,21,97.94,97.38,14
1141,Sakhir,22,98.32,98.15,11
1141,Sakhir,23,97.85,98.08,10
1141,Sakhir,24,98.9,98.07,16
1141,Sakhir,27,98.73,98.79,15
1141,Sakhir,44,99.02,99.25,5
1141,Sakhir,55,98.33,99.51,4
1141,Sakhir,63,98.82,99.3,7
1141,Sakhir,77,98.63,98.1,8
1142,Jeddah,1,100.0,99.44,2
1142,Jeddah,2,98.09,98.38,16
1142,Jeddah,4,98.22,97.59,17
1142,Jeddah,10,98.88,98.78,9
1142,Jeddah,11,99.48,100.0,1
1142,Jeddah,14,99.29,99.48,3
1142,Jeddah,16,98.77,99.82,7
1142,Jeddah,20,98.23,98.6,10
1142,Jeddah,21,97.86,97.81,14
1142,Jeddah,22,98.17,98.14,11
1142,Jeddah,24,98.15,98.66,13
1142,Jeddah,27,98.54,98.67,12
1142,Jeddah,31,98.72,99.09,8
1142,Jeddah,44,98.8,98.93,5
1142,Jeddah,55,98.68,99.25,6
1142,Jeddah,63,98.91,99.33,4
1142,Jeddah,77,97.94,98.44,18
1142,Jeddah,81,98.37,98.9,15
1143,Melbourne,1,100.0,100.0,1
1143,Melbourne,2,98.88,97.68,16
1143,Melbourne,4,98.74,98.22,6
1143,Melbourne,10,99.12,98.91,13
1143,Melbourne,11,99.31,76.59,5
1143,Melbourne,14,99.97,99.47,3
1143,Melbourne,18,98.87,99.25,4
1143,Melbourne,20,97.68,98.21,17
1143,Melbourne,21,98.43,97.95,15
1143,Melbourne,22,98.47,98.25,10
1143,Melbourne,24,98.53,97.7,9
1143,Melbourne,27,98.93,99.12,7
1143,Melbourne,31,99.17,98.67,14
1143,Melbourne,44,99.23,99.52,2
1143,Melbourne,55,99.38,99.3,12
1143,Melbourne,77,98.46,97.48,11
1143,Melbourne,81,98.74,97.73,8
1207,Baku,1,100.0,99.81,2
1207,Baku,2,97.54,98.01,16
1207,Baku,4,99.21,98.94,9
1207,Baku,10,96.23,95.57,14
1207,Baku,11,99.86,99.71,1
1207,Baku,14,98.8,98.96,4
1207,Baku,16,99.96,100.0,3
1207,Baku,18,98.9,98.65,7
1207,Baku,20,95.18,96.89,13
1207,Baku,22,98.25,98.66,10
1207,Baku,23,98.73,98.41,12
1207,Baku,27,98.08,97.52,17
1207,Baku,31,96.56,98.43,15
1207,Baku,44,98.57,99.04,6
1207,Baku,55,99.43,99.2,5
1207,Baku,63,97.37,98.57,8
